CodeValue,ShortDescription,Description,Namespace
Emergency,Emergency,Emergency,uri://ed-fi.org/TeachingCredentialDescriptor
Intern,Intern,Intern,uri://ed-fi.org/TeachingCredentialDescriptor
Master,Master,Master,uri://ed-fi.org/TeachingCredentialDescriptor
Nonrenewable,Nonrenewable,Nonrenewable,uri://ed-fi.org/TeachingCredentialDescriptor
Other,Other,Other,uri://ed-fi.org/TeachingCredentialDescriptor
Paraprofessional,Paraprofessional,Paraprofessional,uri://ed-fi.org/TeachingCredentialDescriptor
Probationary/Initial,Probationary/Initial,Probationary/Initial,uri://ed-fi.org/TeachingCredentialDescriptor
Professional,Professional,Professional,uri://ed-fi.org/TeachingCredentialDescriptor
Provisional,Provisional,Provisional,uri://ed-fi.org/TeachingCredentialDescriptor
Regular/Standard,Regular/Standard,Regular/Standard,uri://ed-fi.org/TeachingCredentialDescriptor
Retired,Retired,Retired,uri://ed-fi.org/TeachingCredentialDescriptor
Specialist,Specialist,Specialist,uri://ed-fi.org/TeachingCredentialDescriptor
Substitute,Substitute,Substitute,uri://ed-fi.org/TeachingCredentialDescriptor
Teacher Assistant,Teacher Assistant,Teacher Assistant,uri://ed-fi.org/TeachingCredentialDescriptor
Temporary,Temporary,Temporary,uri://ed-fi.org/TeachingCredentialDescriptor
