ClassPeriodName,SchoolReference.id,SchoolReference.ref,SchoolReference.SchoolIdentity.SchoolId
01 - Traditional,,,255901001
02 - Traditional,,,255901001
03 - Traditional,,,255901001
04 - Traditional,,,255901001
05 - Traditional,,,255901001
06 - Traditional,,,255901001
07 - Traditional,,,255901001
08 - Traditional,,,255901001
01 - Traditional,,,255901002
02 - Traditional,,,255901002
03 - Traditional,,,255901002
04 - Traditional,,,255901002
05 - Traditional,,,255901002
06 - Traditional,,,255901002
07 - Traditional,,,255901002
08 - Traditional,,,255901002
01 - Traditional,,,255901003
02 - Traditional,,,255901003
03 - Traditional,,,255901003
04 - Traditional,,,255901003
05 - Traditional,,,255901003
06 - Traditional,,,255901003
07 - Traditional,,,255901003
08 - Traditional,,,255901003
01 - Traditional,,,255901004
02 - Traditional,,,255901004
03 - Traditional,,,255901004
04 - Traditional,,,255901004
05 - Traditional,,,255901004
06 - Traditional,,,255901004
07 - Traditional,,,255901004
08 - Traditional,,,255901004
01 - Traditional,,,255901005
02 - Traditional,,,255901005
03 - Traditional,,,255901005
04 - Traditional,,,255901005
05 - Traditional,,,255901005
06 - Traditional,,,255901005
07 - Traditional,,,255901005
08 - Traditional,,,255901005
