CodeValue,Description,Namespace,ShortDescription,AcademicSubject.CodeValue,AcademicSubject.Namespace
Computer Science,Computer Science,http://ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Computer Science,Career and Technical Education,
Agricultural Science and Technology,Agricultural Science and Technology,http://ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Agricultural Science and Technology,Science,
Bilingual,Bilingual,http://ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Bilingual,,
Mathematics,Mathematics,http://ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Mathematics,Mathematics,
Life and Physical Sciences,Life and Physical Sciences,http://ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Life and Physical Sciences,Life and Physical Sciences,
Art,Art,http://ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Art,Fine and Performing Arts,
Generalist,Generalist,http://ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Generalist,,
Social Studies,Social Studies,http://ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Social Studies,Social Sciences and History,
Music,Music,http://ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Music,Fine and Performing Arts,
Physical Education,Physical Education,http://ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Physical Education,"Physical, Health, and Safety Education",
Health,Health,http://ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Health,"Physical, Health, and Safety Education",
Psychology,Psychology,http://ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Psychology,Other,
Bilingual Generalist-Spanish,Bilingual Generalist-Spanish,http://ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Bilingual Generalist-Spanish,,
