CodeValue,ShortDescription,Description,Namespace,AcademicSubject/CodeValue
Computer Science,Computer Science,Computer Science,http://www.ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Career and Technical Education
Agricultural Science and Technology,Agricultural Science and Technology,Agricultural Science and Technology,http://www.ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Science
Bilingual,Bilingual,Bilingual,http://www.ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,
Mathematics,Mathematics,Mathematics,http://www.ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Mathematics
Life and Physical Sciences,Life and Physical Sciences,Life and Physical Sciences,http://www.ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Life and Physical Sciences
Art,Art,Art,http://www.ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Fine and Performing Arts
Generalist,Generalist,Generalist,http://www.ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,
Social Studies,Social Studies,Social Studies,http://www.ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Social Sciences and History
Music,Music,Music,http://www.ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Fine and Performing Arts
Physical Education,Physical Education,Physical Education,http://www.ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,"Physical, Health, and Safety Education"
Health,Health,Health,http://www.ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,"Physical, Health, and Safety Education"
Psychology,Psychology,Psychology,http://www.ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,Other
Bilingual Generalist-Spanish,Bilingual Generalist-Spanish,Bilingual Generalist-Spanish,http://www.ed-fi.org/Descriptor/CredentialFieldDescriptor.xml,
